"","Adams","Cabot","Kirkland","Mather","Quincy","Leverett","Dunster","Currier","Eliot","Lowell","Pforzheimer","Winthrop"
"368",9,11,8,10,6,7,6,11,7,4,10,3
"369",9,11,8,10,6,7,6,11,7,4,10,3
"370",9,11,8,10,7,7,6,11,7,4,10,3
"371",9,11,8,10,7,7,6,11,7,4,10,3
"372",9,11,8,10,7,7,6,11,7,4,10,3
"373",9,11,8,10,7,7,6,11,7,5,10,3
"374",9,11,8,10,7,7,6,11,7,5,11,3
"375",9,11,8,10,7,7,6,11,7,5,11,3
"376",9,11,8,10,7,7,6,11,7,5,11,3
"377",9,11,8,10,7,7,6,11,7,5,11,3
"378",9,11,8,10,7,7,6,11,7,5,11,3
"379",9,11,8,10,7,7,6,11,7,5,11,3
"380",9,11,8,10,7,7,6,11,7,5,11,3
"381",9,11,8,10,7,7,6,11,7,5,11,3
"382",9,11,8,10,7,7,6,11,7,5,11,3
"383",9,11,8,10,7,7,6,11,7,5,11,3
"384",9,11,8,10,7,7,6,11,7,5,11,3
"385",9,11,8,10,7,7,6,12,7,5,11,3
"386",9,11,8,10,7,7,6,12,7,5,11,3
"387",9,11,8,10,7,7,6,12,7,5,11,3
"388",9,11,8,10,7,7,6,12,7,5,11,3
"389",9,11,8,10,7,7,6,12,7,5,11,3
"390",9,11,8,10,7,7,6,12,7,5,11,3
"391",9,11,8,10,7,7,6,12,7,5,11,3
"392",9,11,8,10,7,7,6,12,7,5,11,3
"393",9,11,8,10,7,7,6,12,7,5,11,3
"394",9,11,8,10,7,7,7,12,7,5,11,3
"395",10,11,8,10,7,7,7,12,7,5,11,3
"396",10,11,8,10,7,7,7,12,7,5,11,3
"397",10,11,8,10,7,7,7,12,7,5,11,3
"398",10,11,8,10,7,8,7,12,7,5,11,3
"399",10,11,8,10,7,8,7,12,7,5,11,3
"400",10,11,9,10,7,8,7,12,7,5,11,3
"401",10,11,9,10,7,8,7,12,7,5,11,4
"402",10,11,9,10,7,8,7,12,7,5,11,4
"403",10,11,9,10,7,8,7,12,7,5,11,4
"404",10,11,9,11,7,8,7,12,8,5,11,4
"405",10,11,9,11,7,8,7,12,8,5,11,4
"406",10,11,9,11,7,8,7,12,8,5,11,4
"407",10,11,9,11,7,8,7,12,8,5,11,4
"408",10,11,9,11,7,8,7,12,8,5,11,4
"409",10,11,9,11,7,8,7,12,8,5,11,4
"410",10,11,9,11,7,8,7,12,8,5,11,4
"411",10,11,9,11,7,8,7,12,8,5,11,4
"412",10,11,9,11,7,8,7,12,8,5,11,4
"413",10,11,9,11,7,8,7,12,8,5,11,4
"414",10,11,9,11,7,8,7,12,8,5,11,4
"415",10,11,9,11,7,8,7,12,8,5,11,4
"416",10,11,9,11,7,8,7,12,8,5,11,4
"417",10,11,9,11,7,8,7,12,8,5,11,4
"418",10,11,9,11,7,8,7,12,8,6,11,4
"419",10,11,9,11,7,8,7,12,8,6,11,4
"420",10,11,9,11,7,8,7,12,8,6,11,4
"421",10,11,9,11,7,8,7,12,8,6,11,4
"422",10,11,9,11,7,8,7,12,8,6,11,4
"423",11,11,9,11,7,8,7,12,8,6,11,4
"424",11,11,9,11,7,8,7,12,8,6,11,4
"425",11,11,9,11,7,8,7,12,8,6,11,4
"426",11,11,9,11,7,8,7,12,8,6,11,4
"427",11,11,9,11,7,8,7,12,8,6,11,4
"428",11,11,9,11,7,8,7,12,8,6,11,4
"429",11,11,9,11,7,8,7,12,8,6,11,4
"430",11,11,9,11,7,8,7,12,8,6,11,4
"431",11,11,9,11,7,8,7,12,8,6,11,4
"432",11,11,9,11,7,8,7,12,8,6,11,4
"433",11,11,9,11,7,8,7,12,8,6,11,4
"434",11,11,9,11,7,8,7,12,8,6,11,4
"435",11,11,9,11,8,8,7,12,8,6,11,4
"436",11,11,9,11,8,8,7,12,8,6,11,4
"437",11,11,9,11,8,8,7,12,8,6,11,4
"438",11,11,9,11,8,8,8,12,8,6,11,4
"439",11,11,9,11,8,8,8,12,8,6,11,4
"440",11,11,9,11,8,8,8,12,8,6,11,4
"441",11,12,9,11,8,8,8,12,8,6,11,4
"442",11,12,9,11,8,8,8,12,8,6,11,4
"443",11,12,9,11,8,8,8,12,8,6,11,4
"444",11,12,9,11,8,8,8,12,9,6,11,4
"445",11,12,9,11,8,8,8,12,9,6,11,4
"446",11,12,9,11,8,8,8,12,9,6,11,4
"447",11,12,9,11,8,8,8,12,9,6,11,5
"448",11,12,9,11,8,8,8,12,9,6,11,5
"449",11,12,9,11,8,8,8,12,9,6,11,5
"450",11,12,9,11,8,8,8,12,9,6,11,5
"451",11,12,9,11,8,8,8,12,9,6,11,5
"452",11,12,9,11,8,8,8,12,9,6,11,5
"453",11,12,9,11,8,8,8,12,9,7,11,5
"454",11,12,9,11,8,8,8,12,9,7,11,5
"455",12,12,9,11,8,8,8,12,9,7,11,5
"456",12,12,10,11,8,8,8,12,9,7,11,5
"457",12,12,10,11,8,8,8,12,9,7,11,5
"458",12,12,10,11,8,8,8,12,9,7,11,5
"459",12,12,10,12,8,8,8,12,9,7,11,5
"460",12,12,10,12,8,8,8,12,9,7,11,5
"461",12,12,10,12,8,8,8,12,9,7,11,5
"462",12,12,10,12,8,8,8,12,9,7,11,5
"463",12,12,10,12,8,8,8,12,9,7,11,5
"464",12,12,10,12,8,9,8,12,9,7,11,5
"465",12,12,10,12,8,9,8,12,9,7,11,5
"466",12,12,10,12,8,9,8,12,9,7,11,5
"467",12,12,10,12,8,9,8,12,9,7,11,5
"468",12,12,10,12,8,9,8,12,9,7,11,5
"469",12,12,10,12,8,9,8,12,9,7,11,5
"470",12,12,10,12,8,9,8,12,9,7,11,5
"471",12,12,10,12,8,9,8,12,9,7,11,5
"472",12,12,10,12,8,9,8,12,9,7,12,5
"473",12,12,10,12,8,9,8,12,9,7,12,5
"474",12,12,10,12,8,9,8,12,9,7,12,5
"475",12,12,10,12,8,9,8,12,9,8,12,5
"476",12,12,10,12,8,9,8,12,9,8,12,5
"477",12,12,10,12,8,9,8,12,9,8,12,5
"478",12,12,10,12,8,9,8,12,9,8,12,5
"479",12,12,10,12,9,9,8,12,9,8,12,5
"480",12,12,11,12,9,9,8,12,9,8,12,5
"481",12,12,11,12,9,9,8,12,9,8,12,5
"482",12,12,11,12,9,9,8,12,10,8,12,5
"483",12,12,11,12,9,9,8,12,10,8,12,5
"484",12,12,11,12,9,9,8,12,10,8,12,5
"485",12,12,11,12,9,9,8,12,10,8,12,5
"486",12,12,11,12,9,9,8,12,10,8,12,6
"487",12,12,11,12,9,9,8,12,10,8,12,6
"488",12,12,11,12,9,9,8,12,10,8,12,6
"489",12,12,11,12,9,9,8,12,10,8,12,6
"490",12,12,11,12,9,9,9,12,10,8,12,6
"491",12,12,11,12,9,9,9,12,10,8,12,6
"492",12,12,11,12,9,9,9,12,10,8,12,6
"493",12,12,11,12,9,9,9,12,10,8,12,6
"494",12,12,11,12,9,9,9,12,10,8,12,6
"495",12,12,11,12,9,9,9,12,10,8,12,6
"496",12,12,11,12,9,9,9,12,10,8,12,6
"497",12,12,11,12,9,9,9,12,10,8,12,6
"498",12,12,11,12,9,9,9,12,10,8,12,6
"499",12,12,11,12,9,9,9,12,10,9,12,7
"500",12,12,11,12,10,10,9,12,10,9,12,7
"501",12,12,11,12,10,10,9,12,10,9,12,7
"502",12,12,11,12,10,10,9,12,10,9,12,7
"503",12,12,11,12,10,10,9,12,10,9,12,7
"504",12,12,12,12,10,10,9,12,10,9,12,7
"505",12,12,12,12,10,10,9,12,11,9,12,7
"506",12,12,12,12,10,10,9,12,11,9,12,7
